Data;Total;SM;ROUTE;INDIRETOS;Week_445;Month_445;Day_gregoriano;Month_gregoriano;Year;Data;holidays;weekend;work_day
(01/jan) S 01/01/15;1.140.939,79;53.836,01;445.628,58;279.716,45;1;1;1;1;2015;01/01/2015;1;0;0
(10/jan) S 02/01/15;1.208.345,05;44.632,77;411.396,38;373.728,09;2;1;10;1;2015;10/01/2015;0;3;6
(17/jan) S 03/01/15;1.232.568,27;50.346,89;377.523,01;414.361,51;3;1;17;1;2015;17/01/2015;0;2;5
(24/jan) S 04/01/15;1.286.220,81;59.593,78;404.243,53;409.215,53;4;1;24;1;2015;24/01/2015;0;2;5
(31/jan) S 01/02/15;932.421,50;40.541,61;335.083,88;260.696,61;1;2;31;1;2015;31/01/2015;0;2;5
(07/fev) S 02/02/15;1.241.822,85;70.487,92;408.126,39;355.669,98;2;2;7;2;2015;07/02/2015;0;2;5
(14/fev) S 03/02/15;663.559,52;36.414,65;220.739,47;189.597,64;3;2;14;2;2015;14/02/2015;0;2;5
(21/fev) S 04/02/15;1.038.922,62;48.086,97;348.372,04;309.111,27;4;2;21;2;2015;21/02/2015;2;2;3
(28/fev) S 01/03/15;765.228,30;28.923,07;299.549,08;199.361,18;1;3;28;2;2015;28/02/2015;0;2;5
(07/mar) S 02/03/15;883.281,28;31.903,17;310.258,89;265.346,15;2;3;7;3;2015;07/03/2015;0;2;5
(14/mar) S 03/03/15;905.788,98;30.366,08;294.306,35;299.975,35;3;3;14;3;2015;14/03/2015;0;2;5
(21/mar) S 04/03/15;1.035.448,00;45.611,97;313.853,22;345.554,18;4;3;21;3;2015;21/03/2015;0;2;5
(28/mar) S 05/03/15;983.942,04;54.783,69;299.975,35;306.676,72;5;3;28;3;2015;28/03/2015;0;2;5
(04/abr) S 01/04/15;786.818,26;43.336,90;323.254,94;169.786,81;1;4;4;4;2015;04/04/2015;1;2;4
(11/abr) S 02/04/15;919.570,22;40.146,76;317.893,22;268.642,63;2;4;11;4;2015;11/04/2015;0;2;5
(18/abr) S 03/04/15;949.106,41;44.714,13;298.697,06;300.259,63;3;4;18;4;2015;18/04/2015;0;2;5
(25/abr) S 04/04/15;1.273.613,15;76.036,20;340.233,50;438.464,10;4;4;25;4;2015;25/04/2015;1;2;4
(02/mai) S 01/05/15;657.291,80;30.293,44;279.159,66;143.480,74;1;5;2;5;2015;02/05/2015;1;2;4
(09/mai) S 02/05/15;879.578,62;50.853,20;311.838,90;229.362,01;2;5;9;5;2015;09/05/2015;0;2;5
(16/mai) S 03/05/15;913.459,58;34.362,88;276.103,11;316.448,63;3;5;16;5;2015;16/05/2015;0;2;5
(23/mai) S 04/05/15;1.098.092,95;50.853,20;298.839,02;397.744,87;4;5;23;5;2015;23/05/2015;0;2;5
(30/mai) S 01/06/15;630.452,08;30.657,14;223.994,19;173.043,93;1;6;30;5;2015;30/05/2015;0;2;5
(06/jun) S 02/06/15;852.822,95;37.801,67;296.428,51;246.625,23;2;6;6;6;2015;06/06/2015;1;2;4
(13/jun) S 03/06/15;989.380,42;40.541,61;319.774,08;315.438,56;3;6;13;6;2015;13/06/2015;0;2;5
(20/jun) S 04/06/15;967.679,71;45.284,88;262.471,53;350.601,39;4;6;20;6;2015;20/06/2015;0;2;5
(27/jun) S 05/06/15;826.884,67;44.551,45;255.257,50;256.885,71;5;6;27;6;2015;27/06/2015;0;2;5
(04/jul) S 01/07/15;701.346,36;30.802,98;255.257,50;192.586,49;1;7;4;7;2015;04/07/2015;0;2;5
(11/jul) S 02/07/15;857.652,02;33.986,77;269.881,89;282.924,32;2;7;11;7;2015;11/07/2015;0;2;5
(18/jul) S 03/07/15;917.006,24;37.646,81;270.295,34;318.905,59;3;7;18;7;2015;18/07/2015;0;2;5
(25/jul) S 04/07/15;1.225.479,68;75.087,18;308.108,13;439.735,30;4;7;25;7;2015;25/07/2015;0;2;5
(01/ago) S 01/08/15;449.303,53;22.626,63;202.900,86;85.518,16;1;8;1;8;2015;01/08/2015;0;2;5
(08/ago) S 02/08/15;750.127,55;36.338,04;263.428,72;209.138,97;2;8;8;8;2015;08/08/2015;0;2;5
(15/ago) S 03/08/15;827.075,94;36.644,76;243.811,80;282.784,62;3;8;15;8;2015;15/08/2015;0;2;5
(22/ago) S 04/08/15;1.047.111,63;43.821,54;304.533,27;366.925,63;4;8;22;8;2015;22/08/2015;0;2;5
(29/ago) S 01/09/15;780.416,84;38.034,32;281.249,31;210.546,94;1;9;29;8;2015;29/08/2015;0;2;5
(05/set) S 02/09/15;643.742,10;27.783,60;231.993,93;179.612,20;2;9;5;9;2015;05/09/2015;0;2;5
(12/set) S 03/09/15;904.806,94;42.052,28;278.325,08;293.882,46;3;9;12;9;2015;12/09/2015;1;2;4
(19/set) S 04/09/15;988.574,18;39.438,90;288.388,14;349.114,69;4;9;19;9;2015;19/09/2015;0;2;5
(26/set) S 05/09/15;983.338,31;55.216,05;274.440,06;331.712,40;5;9;26;9;2015;26/09/2015;0;2;5
(03/out) S 01/10/15;762.425,22;40.858,30;322.674,03;158.472,22;1;10;3;10;2015;03/10/2015;0;2;5
(10/out) S 02/10/15;723.684,75;31.241,70;260.560,22;202.394,08;2;10;10;10;2015;10/10/2015;0;2;5
(17/out) S 03/10/15;969.081,96;33.312,84;322.819,23;311.264,08;3;10;17;10;2015;17/10/2015;1;2;4
(24/out) S 04/10/15;1.138.208,44;52.466,27;361.810,35;358.511,69;4;10;24;10;2015;24/10/2015;0;2;5
(31/out) S 01/11/15;725.524,84;29.931,02;282.086,45;186.251,60;1;11;31;10;2015;31/10/2015;0;2;5
(07/nov) S 02/11/15;1.131.493,30;44.795,53;376.307,42;353.133,02;2;11;7;11;2015;07/11/2015;1;2;4
(14/nov) S 03/11/15;1.036.673,94;40.779,06;323.545,51;345.257,95;3;11;14;11;2015;14/11/2015;0;2;5
(21/nov) S 04/11/15;1.186.601,23;50.262,64;352.089,94;407.348,95;4;11;21;11;2015;21/11/2015;1;2;5
(28/nov) S 01/12/15;1.118.306,94;48.253,32;421.095,05;295.862,17;1;12;28;11;2015;28/11/2015;0;2;5
(05/dez) S 02/12/15;1.311.325,95;59.239,98;432.440,66;399.753,06;2;12;5;12;2015;05/12/2015;0;2;5
(12/dez) S 03/12/15;1.623.560,70;78.423,94;469.105,60;553.130,32;3;12;12;12;2015;12/12/2015;0;2;5
(19/dez) S 04/12/15;1.370.601,12;83.752,24;447.225,30;386.370,30;4;12;19;12;2015;19/12/2015;0;2;5
(26/dez) S 05/12/15;1.168.993,36;74.141,66;429.280,24;281.388,79;5;12;26;12;2015;26/12/2015;1;2;4
(01/jan) S 01/01/16;676.868,42;24.174,99;219.182,17;222.169,83;1;1;1;1;2016;01/01/2016;1;1;4
(09/jan) S 02/01/16;989.783,61;39.203,77;331.127,08;306.962,84;2;1;9;1;2016;09/01/2016;0;3;5
(16/jan) S 03/01/16;990.388,49;44.632,77;310.976,79;317.604,15;3;1;16;1;2016;16/01/2016;0;2;5
(23/jan) S 04/01/16;935.989,53;48.003,85;302.251,79;281.807,32;4;1;23;1;2016;23/01/2016;0;2;5
(30/jan) S 01/02/16;869.662,47;43.417,56;322.093,43;225.038,64;1;2;30;1;2016;30/01/2016;0;2;5
(06/fev) S 02/02/16;582.080,08;23.971,33;217.757,48;157.176,96;2;2;6;2;2016;06/02/2016;0;2;5
(13/fev) S 03/02/16;913.656,51;33.089,08;324.563,11;270.984,84;3;2;13;2;2016;13/02/2016;2;2;3
(20/fev) S 04/02/16;857.652,02;35.194,58;274.578,53;275.964,41;4;2;20;2;2016;20/02/2016;0;2;5
(27/fev) S 01/03/16;704.264,28;27.996,23;267.542,48;188.232,33;1;3;27;2;2016;27/02/2016;0;2;5
(05/mar) S 02/03/16;738.258,66;30.875,97;296.428,51;180.591,36;2;3;5;3;2016;05/03/2016;0;2;5
(12/mar) S 03/03/16;793.990,89;31.755,82;278.186,05;233.709,39;3;3;12;3;2016;12/03/2016;0;2;5
(19/mar) S 04/03/16;736.409,16;35.270,48;252.956,08;211.316,09;4;3;19;3;2016;19/03/2016;0;2;5
(26/mar) S 05/03/16;804.216,28;42.372,37;283.343,52;217.757,48;5;3;26;3;2016;26/03/2016;1;2;4
(02/abr) S 01/04/16;736.594,05;33.537,04;285.022,17;185.016,77;1;4;2;4;2016;02/04/2016;0;2;5
(09/abr) S 02/04/16;880.942,23;35.879,37;312.845,58;254.038,34;2;4;9;4;2016;09/04/2016;0;2;5
(16/abr) S 03/04/16;711.757,61;26.308,62;228.442,92;233.841,50;3;4;16;4;2016;16/04/2016;0;2;5
(23/abr) S 04/04/16;987.768,13;43.740,65;302.394,24;326.018,44;4;4;23;4;2016;23/04/2016;1;2;4
(30/abr) S 01/05/16;730.684,36;36.261,48;290.216,20;172.076,97;1;5;30;4;2016;30/04/2016;0;2;5
(07/mai) S 02/05/16;817.147,05;33.911,70;300.686,20;224.777,40;2;5;7;5;2016;07/05/2016;1;2;5
(14/mai) S 03/05/16;850.700,70;33.836,67;270.984,84;277.074,58;3;5;14;5;2016;14/05/2016;0;2;5
(21/mai) S 04/05/16;755.337,59;34.061,90;228.705,41;250.795,63;4;5;21;5;2016;21/05/2016;0;2;5
(28/mai) S 01/06/16;808.583,16;39.517,37;267.405,06;240.608,05;1;6;28;5;2016;28/05/2016;1;2;4
(04/jun) S 02/06/16;689.710,26;27.500,84;268.642,63;178.268,42;2;6;4;6;2016;04/06/2016;0;2;5
(11/jun) S 03/06/16;817.337,66;27.218,92;264.523,90;272.089,12;3;6;11;6;2016;11/06/2016;0;2;5
(18/jun) S 04/06/16;820.770,84;35.270,48;249.313,47;274.994,08;4;6;18;6;2016;18/06/2016;0;2;5
(25/jun) S 05/06/16;1.088.959,40;49.422,51;288.107,20;405.329,63;5;6;25;6;2016;25/06/2016;0;2;5
(02/jul) S 01/07/16;446.746,11;17.607,75;198.857,01;94.811,28;1;7;2;7;2016;02/07/2016;0;2;5
(09/jul) S 02/07/16;634.696,04;26.517,88;240.075,30;168.345,03;2;7;9;7;2016;09/07/2016;0;2;5
(16/jul) S 03/07/16;713.039,28;28.280,47;233.973,63;225.430,68;3;7;16;7;2016;16/07/2016;0;2;5
(23/jul) S 04/07/16;882.891,31;30.511,51;265.209,06;312.701,71;4;7;23;7;2016;23/07/2016;0;2;5
(30/jul) S 01/08/16;523.111,78;21.501,71;211.957,68;126.831,30;1;8;30;7;2016;30/07/2016;0;2;5
(06/ago) S 02/08/16;668.765,94;30.148,32;252.685,73;173.891,32;2;8;6;8;2016;06/08/2016;0;2;5
(13/ago) S 03/08/16;673.263,79;30.802,98;237.549,47;189.721,90;3;8;13;8;2016;13/08/2016;0;2;5
(20/ago) S 04/08/16;859.199,00;31.022,11;276.380,57;283.064,03;4;8;20;8;2016;20/08/2016;0;2;5
(27/ago) S 01/09/16;797.016,64;36.491,31;262.744,91;242.208,37;1;9;27;8;2016;27/08/2016;0;2;5
(03/set) S 02/09/16;554.661,08;35.955,70;208.244,43;128.380,32;2;9;3;9;2016;03/09/2016;0;2;5
(10/set) S 03/09/16;830.712,55;39.438,90;306.104,70;219.700,91;3;9;10;9;2016;10/09/2016;1;2;4
(17/set) S 04/09/16;883.671,30;28.851,46;295.296,14;286.002,71;4;9;17;9;2016;17/09/2016;0;2;5
(24/set) S 05/09/16;1.047.726,56;34.137,07;328.496,87;361.209,93;5;9;24;9;2016;24/09/2016;0;2;5
(01/out) S 01/10/16;593.676,19;18.606,95;236.488,31;158.000,85;1;10;1;10;2016;01/10/2016;0;2;5
(08/out) S 02/10/16;757.760,12;28.636,94;262.471,53;228.836,69;2;10;8;10;2016;08/10/2016;0;2;5
(15/out) S 03/10/16;1.009.396,03;35.879,37;337.729,39;320.788,19;3;10;15;10;2016;15/10/2016;1;2;4
(22/out) S 04/10/16;1.066.223,64;52.040,35;316.159,94;353.729,47;4;10;22;10;2016;22/10/2016;0;2;5
(29/out) S 01/11/16;704.994,31;52.893,20;231.862,13;182.308,62;1;11;29;10;2016;29/10/2016;0;2;5
(05/nov) S 02/11/16;884.451,49;60.392,09;308.394,64;221.259,29;2;11;5;11;2016;05/11/2016;1;2;4
(12/nov) S 03/11/16;713.771,97;30.220,86;235.163,81;221.389,30;3;11;12;11;2016;12/11/2016;0;2;5
(19/nov) S 04/11/16;1.029.528,58;41.493,83;308.251,37;354.326,22;4;11;19;11;2016;19/11/2016;1;2;4
(26/nov) S 01/12/16;1.001.497,08;43.256,28;290.497,75;349.411,88;1;12;26;11;2016;26/11/2016;0;2;5
(03/dez) S 02/12/16;804.216,28;41.892,50;323.254,94;183.169,03;2;12;3;12;2016;03/12/2016;0;2;5
(10/dez) S 03/12/16;1.353.555,57;67.255,43;445.309,44;403.158,28;3;12;10;12;2016;10/12/2016;0;2;5
(17/dez) S 04/12/16;1.455.854,27;77.084,14;415.455,50;489.647,70;4;12;17;12;2016;17/12/2016;0;2;5
(24/dez) S 05/12/16;1.748.918,45;61.997,99;467.648,21;678.853,37;5;12;24;12;2016;24/12/2016;0;2;5
(01/jan) S 01/01/17;248.371,61;12.081,32;141.195,90;27.500,84;1;1;1;1;2017;01/01/2017;2;3;5
(07/jan) S 02/01/17;484.406,27;19.176,04;243.811,80;81.123,71;2;1;7;1;2017;07/01/2017;0;1;5
(14/jan) S 03/01/17;561.821,00;25.269,62;242.475,40;120.255,54;3;1;14;1;2017;14/01/2017;0;2;5
(21/jan) S 04/01/17;610.232,69;28.708,40;247.162,20;142.222,75;4;1;21;1;2017;21/01/2017;0;2;5
(28/jan) S 01/02/17;597.672,36;42.693,17;209.522,69;145.776,29;1;2;28;1;2017;28/01/2017;0;2;5
(04/fev) S 02/02/17;523.613,63;28.779,90;223.472,50;106.157,23;2;2;4;2;2017;04/02/2017;0;2;5
(11/fev) S 03/02/17;642.853,57;35.498,45;237.682,21;161.427,54;3;2;11;2;2017;11/02/2017;0;2;5
(18/fev) S 04/02/17;906.771,33;46.679,76;273.332,99;292.047,65;4;2;18;2;2017;18/02/2017;0;2;5
(25/fev) S 01/03/17;381.786,62;19.622,12;151.677,92;88.883,03;1;3;25;2;2017;25/02/2017;0;2;5
(04/mar) S 02/03/17;659.438,77;31.095,26;282.226,05;140.968,00;2;3;4;3;2017;04/03/2017;2;2;3
(11/mar) S 03/03/17;718.172,70;31.314,99;295.437,62;167.505,66;3;3;11;3;2017;11/03/2017;0;2;5
(18/mar) S 04/03/17;613.209,46;28.708,40;213.628,46;174.254,86;4;3;18;3;2017;18/03/2017;0;2;5
(25/mar) S 05/03/17;750.313,44;37.956,72;227.787,09;241.407,82;5;3;25;3;2017;25/03/2017;0;2;5
(01/abr) S 01/04/17;367.679,65;17.731,77;166.787,18;70.580,93;1;4;1;4;2017;01/04/2017;0;2;5
(08/abr) S 02/04/17;549.224,00;35.498,45;215.432,06;119.386,55;2;4;8;4;2017;08/04/2017;0;2;5
(15/abr) S 03/04/17;571.580,92;29.353,81;199.235,10;158.118,66;3;4;15;4;2017;15/04/2017;1;2;4
(22/abr) S 04/04/17;898.333,31;43.659,81;256.749,91;308.537,93;4;4;22;4;2017;22/04/2017;1;2;4
(29/abr) S 01/05/17;464.737,42;25.545,48;190.343,57;100.850,17;1;5;29;4;2017;29/04/2017;0;2;5
(06/mai) S 02/05/17;710.842,55;40.620,71;286.984,25;155.415,72;2;5;6;5;2017;06/05/2017;1;2;4
(13/mai) S 03/05/17;667.687,77;29.281,89;228.836,69;196.718,43;3;5;13;5;2017;13/05/2017;0;2;5
(20/mai) S 04/05/17;695.157,58;28.779,90;227.393,86;218.275,23;4;5;20;5;2017;20/05/2017;0;2;5
(27/mai) S 01/06/17;632.573,02;45.775,77;185.633,88;187.736,57;1;6;27;5;2017;27/05/2017;0;2;5
(03/jun) S 02/06/17;527.633,50;33.686,76;205.567,56;116.575,15;2;6;3;6;2017;03/06/2017;0;2;5
(10/jun) S 03/06/17;715.238,00;50.599,86;257.293,23;169.305,82;3;6;10;6;2017;10/06/2017;0;2;5
