Data;temperatura;Ocupacao;Ajuste_ipca;PMC;Massa.Renda;Renda;Desemprego
01/01/2015;27,54;24.420,64;256,57;97,99;5.047.993,34;1.588,12;9,28
01/02/2015;27,66;24.420,64;259,70;85,23;5.047.993,34;1.588,12;9,28
01/03/2015;27,31;24.420,64;263,13;93,35;5.047.993,34;1.588,12;9,28
01/04/2015;27,29;24.386,35;264,99;89,54;4.998.964,77;1.574,55;9,94
01/05/2015;26,68;24.386,35;266,96;93,91;4.998.964,77;1.574,55;9,94
01/06/2015;25,87;24.386,35;269,06;89,53;4.998.964,77;1.574,55;9,94
01/07/2015;25,66;24.411,42;270,73;91,94;4.981.003,29;1.559,54;10,48
01/08/2015;25,92;24.411,42;271,33;90,14;4.981.003,29;1.559,54;10,48
01/09/2015;26,86;24.411,42;272,79;86,16;4.981.003,29;1.559,54;10,48
01/10/2015;27,51;24.231,52;275,03;92,27;4.794.792,25;1.514,58;10,11
01/11/2015;28,10;24.231,52;277,81;92,90;4.794.792,25;1.514,58;10,11
01/12/2015;28,31;24.231,52;280,48;115,78;4.794.792,25;1.514,58;10,11
01/01/2016;27,75;23.506,47;284,04;86,89;4.691.581,80;1.521,63;12,47
01/02/2016;27,96;23.506,47;286,59;79,26;4.691.581,80;1.521,63;12,47
01/03/2016;28,01;23.506,47;287,83;85,36;4.691.581,80;1.521,63;12,47
01/04/2016;27,69;23.473,86;289,58;81,57;4.611.945,20;1.508,42;12,92
01/05/2016;26,68;23.473,86;291,84;82,32;4.611.945,20;1.508,42;12,92
01/06/2016;26,00;23.473,86;292,86;81,21;4.611.945,20;1.508,42;12,92
01/07/2016;25,80;22.954,20;294,39;82,89;4.509.381,62;1.500,53;13,71
01/08/2016;26,22;22.954,20;295,68;82,50;4.509.381,62;1.500,53;13,71
01/09/2016;26,63;22.954,20;295,92;78,98;4.509.381,62;1.500,53;13,71
01/10/2016;27,64;22.975,63;296,69;83,05;4.579.125,31;1.525,57;14,00
01/11/2016;28,02;22.975,63;297,22;88,04;4.579.125,31;1.525,57;14,00
01/12/2016;28,02;22.975,63;298,11;108,41;4.579.125,31;1.525,57;14,00
01/01/2017;27,90;22.420,47;299,24;84,24;4.640.572,83;1.576,33;15,82
01/02/2017;27,79;22.420,47;300,23;75,31;4.640.572,83;1.576,33;15,82
01/03/2017;27,38;22.420,47;300,98;84,13;4.640.572,83;1.576,33;15,82
01/04/2017;27,18;22.617,86;301,40;80,66;4.691.188,70;1.572,63;15,35
01/05/2017;26,79;22.617,86;302,34;84,74;4.691.188,70;1.572,63;15,35
01/06/2017;26,18;22.617,86;301,64;83,25;4.691.188,70;1.572,63;15,35
01/07/2017;25,06;22.958,42;302,37;84,58;4.662.402,44;1.556,46;14,45
01/08/2017;25,73;22.958,42;302,94;85,12;4.662.402,44;1.556,46;14,45
01/09/2017;26,28;22.958,42;303,43;83,72;4.662.402,44;1.556,46;14,45
01/10/2017;27,17;23.322,17;304,70;83,95;4.948.093,60;1.588,15;13,42
01/11/2017;27,64;23.322,17;305,55;92,91;4.948.093,60;1.588,15;13,42
01/12/2017;28,00;23.322,17;306,90;111,02;4.948.093,60;1.588,15;13,42
01/01/2018;27,65;22.690,04;307,79;86,84;4.830.741,06;1.601,76;15,44
01/02/2018;27,35;22.690,04;308,77;76,76;4.830.741,06;1.601,76;15,44
01/03/2018;27,88;22.690,04;309,05;87,19;4.830.741,06;1.601,76;15,44
01/04/2018;26,88;22.832,70;309,73;81,01;4.830.713,16;1.596,22;14,43
01/05/2018;26,52;22.832,70;310,97;86,02;4.830.713,16;1.596,22;14,43
01/06/2018;26,11;22.832,70;314,89;85,31;4.830.713,16;1.596,22;14,43
01/07/2018;25,93;23.377,65;315,93;84,09;4.957.543,20;1.601,32;13,90
01/08/2018;26,30;23.377,65;315,64;87,78;4.957.543,20;1.601,32;13,90
01/09/2018;27,03;23.377,65;317,16;83,08;4.957.543,20;1.601,32;13,90
01/10/2018;27,65;23.397,66;318,59;85,25;1.615,21;1.615,21;13,87
01/11/2018;27,99;23.397,66;317,92;96,59;1.615,21;1.615,21;13,87
01/12/2018;27,55;23.397,66;318,39;110,62;1.615,21;1.615,21;13,87
01/01/2019;27,55;22.918,00;319,41;85,37;1.615,21;1.615,21;15,19
01/02/2019;27,48;22.966,75;320,79;79,01;1.615,21;1.615,21;15,20
01/03/2019;27,51;23.089,94;323,19;82,65;1.619,34;1.619,34;14,97
01/04/2019;27,19;23.321,52;325,03;81,92;4.830.741,06;1.615,21;13,98
01/05/2019;26,54;23.363,04;325,46;82,65;4.830.713,16;1.615,21;14,07
01/06/2019;25,96;23.352,33;325,51;81,92;4.830.713,16;1.615,21;14,24
01/07/2019;25,55;23.833,07;326,33;85,37;4.957.543,20;1.615,21;13,80
01/08/2019;25,95;23.769,46;326,74;79,01;4.830.713,16;1.615,21;13,90
01/09/2019;26,64;23.680,63;327,62;85,37;4.957.543,20;1.619,34;13,98
01/10/2019;27,44;23.694,88;328,55;110,62;1.615,21;1.615,21;13,99
01/11/2019;27,83;23.682,69;329,48;85,37;4.957.543,20;1.615,21;13,97
