Datetime,Total,SM,ROUTE,INDIRETOS,Day_gregoriano,Month_gregoriano,Year,holidays,OUTROS,Week_Month,Week_Year,temperatura,Ajuste_ipca,PMC,Massa.Renda,Renda,Desemprego,Next_holiday
2019-05-25,621637.32,24720.53,212856.85,187860.48,25,5,2019,0,196199.46,4,22,26.54,325.46,82.65,4830713.16,1615.21,14.07,4
2019-06-01,467810.08,23971.33,199109.05,98073.06,1,6,2019,0,146656.64,1,23,25.96,325.51,81.92,4830713.16,1615.21,14.24,3
2019-06-08,632396.19,25200.79,225299.98,182677.22,8,6,2019,0,199218.19999999995,2,24,25.96,325.51,81.92,4830713.16,1615.21,14.24,2
2019-06-15,636112.55,25614.59,215045.2,194336.3,15,6,2019,0,201116.46000000008,3,25,25.96,325.51,81.92,4830713.16,1615.21,14.24,1
2019-06-22,827267.22,34664.64,248237.15,281667.79,22,6,2019,1,262697.64,4,26,25.96,325.51,81.92,4830713.16,1615.21,14.24,0
2019-06-29,502327.31,26587.74,206331.34,110162.88,29,6,2019,0,159245.35000000006,5,27,25.96,325.51,81.92,4830713.16,1615.21,14.24,10
2019-07-06,632749.86,28138.24,242208.37,162376.61,6,7,2019,0,200026.64,1,28,25.55,326.33,85.37,4957543.2,1615.21,13.8,9
2019-07-13,627450.98,24583.81,212471.36,192586.49,13,7,2019,0,197809.32,2,29,25.55,326.33,85.37,4957543.2,1615.21,13.8,8
2019-07-20,625687.59,28422.9,196341.74,200244.39,20,7,2019,0,200678.55999999997,3,30,25.55,326.33,85.37,4957543.2,1615.21,13.8,7
2019-07-27,555852.53,24447.31,198731.02,156002.15,27,7,2019,0,176672.05000000005,4,31,25.55,326.33,85.37,4957543.2,1615.21,13.8,6
2019-08-03,512938.13,24039.16,197975.6,128047.93,3,8,2019,0,162875.44,1,32,25.95,326.74,79.01,4830713.16,1615.21,13.9,5
2019-08-10,569865.1,22095.16,209394.76,159770.59,10,8,2019,0,178604.58999999997,2,33,25.95,326.74,79.01,4830713.16,1615.21,13.9,4
2019-08-17,603594.09,23094.69,202140.83,188480.35,17,8,2019,0,189878.22,3,34,25.95,326.74,79.01,4830713.16,1615.21,13.9,3
