Datetime,Total,SM,ROUTE,INDIRETOS,Day_gregoriano,Month_gregoriano,Year,holidays,OUTROS,Week_Month,Week_Year,temperatura,Ajuste_ipca,PMC,Massa.Renda,Renda,Desemprego,Next_holiday
2015-01-01,1140939.79,53836.01,445628.58,279716.45,1,1,2015,1,361758.75,1,1,27.54,256.57,97.99,5047993.34,1588.12,9.28,0
2015-01-10,1208345.05,44632.77,411396.38,373728.09,10,1,2015,0,378587.81000000006,2,2,27.54,256.57,97.99,5047993.34,1588.12,9.28,6
2015-01-17,1232568.27,50346.89,377523.01,414361.51,17,1,2015,0,390336.86,3,3,27.54,256.57,97.99,5047993.34,1588.12,9.28,5
2015-01-24,1286220.81,59593.78,404243.53,409215.53,24,1,2015,0,413167.97,4,4,27.54,256.57,97.99,5047993.34,1588.12,9.28,4
2015-01-31,932421.5,40541.61,335083.88,260696.61,31,1,2015,0,296099.4,5,5,27.54,256.57,97.99,5047993.34,1588.12,9.28,3
2015-02-07,1241822.85,70487.92,408126.39,355669.98,7,2,2015,0,407538.56000000006,1,6,27.66,259.7,85.23,5047993.34,1588.12,9.28,2
2015-02-14,663559.52,36414.65,220739.47,189597.64,14,2,2015,0,216807.76,2,7,27.66,259.7,85.23,5047993.34,1588.12,9.28,1
2015-02-21,1038922.62,48086.97,348372.04,309111.27,21,2,2015,2,333352.33999999997,3,8,27.66,259.7,85.23,5047993.34,1588.12,9.28,0
2015-02-28,765228.3,28923.07,299549.08,199361.18,28,2,2015,0,237394.96999999997,4,9,27.66,259.7,85.23,5047993.34,1588.12,9.28,5
2015-03-07,883281.28,31903.17,310258.89,265346.15,7,3,2015,0,275773.07000000007,1,10,27.31,263.13,93.35,5047993.34,1588.12,9.28,4
2015-03-14,905788.98,30366.08,294306.35,299975.35,14,3,2015,0,281141.19999999995,2,11,27.31,263.13,93.35,5047993.34,1588.12,9.28,3
2015-03-21,1035448.0,45611.97,313853.22,345554.18,21,3,2015,0,330428.6300000001,3,12,27.31,263.13,93.35,5047993.34,1588.12,9.28,2
2015-03-28,983942.04,54783.69,299975.35,306676.72,28,3,2015,0,322506.28,4,13,27.31,263.13,93.35,5047993.34,1588.12,9.28,1
